"";"X";"COVIMOD";"COVIMOD_gr";"FACEBOOK";"GOOGLE";"NETCHECK";"R_0";"INCIDENCE";"DEATHS";"Stri";"FEAR_in";"FEAR_sev";"Twitter"
"1";1;28,1171814380809;68,1960375391032;89,8566502018066;74,4996163865416;18,2176587301587;18,7308928571429;16,028;0,824;76,85;3,48525641025641;2,88525641025641;7350
"2";2;24,3609385040956;67,7007299270073;81,4917788784658;53,4703280482452;1,453125;3,565015625;9,017;0,324;64,35;3,51769911504425;2,90486725663717;14291
"3";3;18,9772541780094;61,9981751824818;70,6140169173836;55,5013138179752;-12,2013888888889;-1,334625;5,5;0,127;59,72;3,53098982423682;2,7372802960222;2263
"4";4;20,2167123168465;67,639902676399;67,9061901024559;56,14472702692;-9,66857638888889;-1,10480729166667;4,022;0,058;59,72;3,6047619047619;2,93121693121693;2008
"5";5;20,414461770792;64,6593673965937;71,8713323370158;60,0497027748522;-13,06875;-4,81176041666667;5,464;0,041;63,43;3,55541795665635;2,86934984520124;1842
"6";6;16,4216363651677;57,2992700729927;76,7989114766056;63,4287234342254;-14,9205729166667;-5,412390625;4,21;0,051;55,09;3,5120320855615;2,8870320855615;1681
"7";7;29,5644919330576;57,1776155717762;82,0633746970436;68,4786714137698;-20,2953703703704;-6,15392708333333;6,688;0,063;55,09;3,45650372825186;2,92212096106048;1568
"8";8;26,3145420689134;62,6277372262774;80,0830628667751;64,3198283067293;-23,7930555555556;-9,5087125;10,115;0,055;56,94;3,39921722113503;2,82778864970646;1429
"9";9;16,9189102277072;59,4890510948905;83,373427581253;68,0935647812537;-14,5508633341967;-9,15003125;14,676;0,058;49,54;3,37284234752589;2,78596087456847;1304
"10";10;17,2620386918845;51,8248175182482;82,1124302086258;69,6302564391878;-9,95486111111111;-4,6941875;24,185;0,197;49,54;3,38971583220568;2,74289580514208;1253
"11";11;14,6304183283908;56,4324817518248;79,9040930595534;68,5495303144284;-3,98697916666667;-1,1698125;61,146;0,632;58,8;3,28152101400934;2,7238158772515;1291
"12";12;21,0741428569871;64,294403892944;82,1231549953252;67,9146693100515;4,61631944444444;3,04953125;170,771;2,476;60,65;3,248;2,78266666666667;1722
"13";13;24,0273141312562;62,287104622871;85,1421694392593;70,9823289287412;6,79513888888889;5,38213541666667;209,051;3,247;62,04;3,214;2,69933333333333;2040
"14";14;21,4457918431784;58,029197080292;85,4598515781291;72,2287613859061;11,5798611111111;6,25703125;216,161;5,675;62,04;3,23557046979866;2,78590604026846;2435
"15";15;20,3187589498992;66,9447340980188;86,5300507188381;72,3034301569752;11,7529761904762;5,48;238,903;8,494;67,59;3,208;2,746;2561
"16";16;33,1677382904022;63,6861313868613;87,0937794842345;72,1139531802089;33,2356770833333;31,85328125;309,245;11,871;82,41;3,22948632421614;2,77785190126751;2924
"17";17;35,8521540024717;67,5912408759124;87,0923172489195;72,6971795276636;21,4027777777778;14,59284375;148,277;6,258;83,33;3,29689067201605;2,78034102306921;2629
"18";18;39,3007983978096;58,485401459854;86,1190428951073;70,6135936751008;6,25260416666667;6,26728125;96,023;2,18;81,48;3,33155436957972;2,82321547698466;1602
"19";19;38,2672313327255;64,014598540146;83,6146939780721;69,3588520371566;8,053125;5,4596;140,549;2,001;77,78;3,26234979973298;2,80240320427236;2441
"20";20;36,2589500752727;63,1792376317924;87,1710876669687;73,4719931147908;8,59375;6,72003472222222;186,813;2,67;75;3,26255860683188;2,82853315472204;1640
"21";21;35,8595402343146;71,3807785888078;84,2755747314996;67,6110277963317;-3,37099358974359;4,01338942307692;123,016;1,196;75;3,40964343598055;2,84400324149109;1463
"22";22;36,0721869141891;71,8978102189781;84,0690359990825;65,8136478806446;-18,1053240740741;-6,72926388888889;51,857;0,458;75;3,41786153215895;2,86071282261368;1159
"23";23;33,7916358792395;68,274244004171;83,2939462378517;66,6388136602962;-24,6465773809524;-7,27951785714286;26,872;0,142;69,44;3,51388329979879;2,89577464788732;476
"24";24;30,3380085421686;57,4677147669849;80,6996989194119;67,1619564132605;-27,2219551282051;-7,59751442307692;9,416;0,046;69,44;3,47893030794165;2,9404376012966;860
"25";25;30,7978597401802;54,2700729927007;83,1785034387669;66,8025354096099;-31,2375;-5,9334625;32,963;0,144;61,11;3,51854838709677;2,95362903225806;606
"26";26;23,8283161298437;66,5075800112296;81,3444318237003;62,6030276424467;-31,828125;-9,10512946428571;127,538;0,749;42,04;3,49880095923261;2,95003996802558;528
"27";27;29,1293145757666;60,8515815085158;78,9202613428609;59,0806896558623;-19,9791666666667;-5,91865;93,292;0,593;35,38;3,54574638844302;2,87038523274478;281
"28";28;31,0712717123374;55,8394160583942;80,6358110084937;63,9949868746215;-16,7235576923077;-4,09738942307692;99,442;0,819;28,58;3,56999598876855;2,95507420778179;286
"29";29;32,866996547119;55,2311435523114;81,143713119426;62,3256555057251;-13,5911458333333;-2,78509895833333;164,422;1,777;28,38;3,50341777241657;2,99155609167672;1069
"30";30;29,4437944660624;57,1949947862357;81,7789440399243;63,9652145576155;-5,25744047619048;-0,137401785714286;266,635;2,656;30,06;3,34579815038199;2,93445918777644;1226
"31";31;34,9974993539213;64,859228362878;82,9031723823565;64,9862606641279;-1,84970238095238;10,2885535714286;530,545;4,291;43,34;3,26315789473684;2,89674568099638;1758
"32";32;29,9912285165854;67,4817518248175;81,8424730713225;63,059348756727;-1,275;2,8046;605,58;4,479;43,01;3,31526104417671;2,84899598393574;1052
"33";33;31,1459732657067;54,3795620437956;84,820158460584;69,8856499094011;13,9700520833333;21,2085859375;335,27;2,257;42,75;3,26434015242679;2,92178098676294;851
